nameOfCandidate,aadhaarNumber,dateOfBirth,pan,salaryEarned,allowances,pensionType,bankName,accountNumber,bankType
Gurutej,A967314397487,11-12-1998,JCHPK4193J,7890.78,5789.123,SELF,HFFUI,234567,PUBLIC
Ayush,A967314397488,12-12-1998,JCHPK4194J,7923.2,722.78,SELF,HDFC,4567788,PRIVATE
ABC,A967314397489,13-12-1998,JCHPK4195J,45678.8,2456.89,FAMILY,ICICI,4567778,PUBLIC
XYZ,A967314397490,14-12-1998,BJUIO56789,34562.45,1736.32,FAMILY,FCB,4567768,PRIVATE
BCD,A967314397491,15-12-1998,BJUIO56790,3211.67,1435.89,SELF,JBK,4567758,PRIVATE
CDE,A967314397492,16-12-1998,BJUIO56791,12233.8,5324.78,FAMILY,LOP,4567748,PUBLIC
DEF,A967314397493,17-12-1998,BJUIO56792,12345.6,3122.67,SELF,ZAHV,4567738,PUBLIC
EFG,A967314397494,18-12-1998,BJUIO56793,9876.456,1342.78,SELF,ZSVXX,4567728,PRIVATE
FGH,A967314397495,19-12-1998,BJUIO56794,34567.89,1432.92,FAMILY,XVSCB,4567718,PUBLIC
GHI,A967314397496,20-12-1998,BJUIO56795,52345.67,1324.34,FAMILY,XVHC,4567708,PRIVATE
JKL,A967314397497,21-12-1998,BJUIO56796,12345.67,2434.56,SELF,XSVHC,4567698,PRIVATE
MNO,A967314397498,22-12-1998,BJUIO56797,8765.09,543.89,FAMILY,CEUDG,4567688,PUBLIC
PQR,A967314397499,23-12-1998,BJUIO56798,5432.89,543.78,SELF,DWYDCV,4567678,PUBLIC
STU,A967314397500,24-12-1998,BJUIO56799,56722.9,4567.63,SELF,XWYVCW,4567668,PRIVATE
VWX,A967314397501,25-12-1998,BJUIO56800,56723.78,5454.54,FAMILY,XWVC,4567658,PUBLIC
YZA,A967314397486,26-12-1998,BJUIO56801,8765.56,6756.45,FAMILY,XWVCY,4567648,PRIVATE
QWER,A967314397485,27-12-1998,BJUIO56802,9876.77,3445.78,SELF,XWWCY,4567638,PRIVATE
YUIO,A967314397484,28-12-1998,BJUIO56803,23456.78,54545.56,FAMILY,XWVCY,4567628,PUBLIC
PLOI,A967314397483,29-12-1998,BJUIO56804,53234.67,5454.23,SELF,XWVYUCW,4567618,PUBLIC
HJIO,A967314397482,30-12-1998,BJUIO56805,65562.89,5666.78,SELF,RTYU,4567608,PRIVATE
